Feature,Coefficient
Contract,-0.9245876836834693
PhoneService,-0.8648691320953296
PaperlessBilling,0.4057561413469252
HighCharge,0.315919022592309
IsNewCustomer,0.29168888938007553
Dependents,-0.2751801247913459
OnlineSecurity,-0.24283657658495983
InternetService,0.24163408438188583
TechSupport,-0.21295717798465177
SeniorCitizen,0.20046131744017612
MultipleLines,0.14303738535509838
OnlineBackup,-0.11392521299505
IsMonthToMonth,-0.10910587202587133
Partner,0.09601986331085845
StreamingMovies,0.07282707820566439
StreamingTV,0.06834910095173004
PaymentMethod,0.0613585204089432
DeviceProtection,-0.03787260263920225
AvgMonthlySpend,0.02490213760952847
tenure,-0.0228745212234854
gender,-0.020752953914455967
MonthlyCharges,0.008381243077586534
TotalToMonthlyRatio,-0.00813362927476849
TotalCharges,0.0001664442162954825
